2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,4
2020-03-18,5
2020-03-19,5
2020-03-20,6
2020-03-21,5
2020-03-22,8
2020-03-23,7
2020-03-24,11
2020-03-25,9
2020-03-26,16
2020-03-27,19
2020-03-28,18
2020-03-29,15
2020-03-30,20
2020-03-31,24
2020-04-01,20
2020-04-02,25
2020-04-03,34
2020-04-04,40
2020-04-05,48
2020-04-06,53
2020-04-07,57
2020-04-08,62
2020-04-09,55
2020-04-10,67
2020-04-11,65
2020-04-12,74
2020-04-13,77
2020-04-14,91
2020-04-15,91
2020-04-16,98
2020-04-17,96
2020-04-18,102
2020-04-19,104
2020-04-20,101
2020-04-21,95
2020-04-22,100
2020-04-23,102
2020-04-24,102
2020-04-25,104
2020-04-26,104
2020-04-27,108
2020-04-28,103
2020-04-29,102
2020-04-30,100
2020-05-01,94
2020-05-02,94
2020-05-03,87
2020-05-04,87
2020-05-05,76
2020-05-06,74
2020-05-07,76
2020-05-08,82
2020-05-09,84
2020-05-10,77
